Index,Cluster
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,3
101,4
102,3
103,3
104,3
105,3
106,5
107,3
108,3
109,3
110,2
111,3
112,3
113,4
114,4
115,3
116,3
117,3
118,3
119,4
120,3
121,2
122,3
123,2
124,3
125,3
126,2
127,2
128,3
129,3
130,3
131,3
132,3
133,2
134,4
135,3
136,3
137,3
138,2
139,3
140,3
141,3
142,4
143,3
144,3
145,3
146,4
147,3
148,3
149,2
